1 2.59606519569e-03 2.05842630524e-02 6.29490148571e-05 2.01706993119e-03
2 4.98129528968e-03 1.33831236991e-02 3.38325709309e-04 1.34795732614e-03
3 6.55375619155e-03 9.05082684468e-03 6.53498718782e-04 9.27563395066e-04
4 7.51968814024e-03 6.28844391808e-03 9.00981946529e-04 6.56382574217e-04
5 8.06146112101e-03 4.49385720235e-03 1.08470174896e-03 4.76392819099e-04
6 8.30914239945e-03 3.30803401418e-03 1.21152798396e-03 3.53385807392e-04
7 8.35468511223e-03 2.86105559288e-03 1.28978708110e-03 2.85892035934e-04
8 8.26289688810e-03 2.62059538784e-03 1.32809187432e-03 2.61472334528e-04
9 8.07939390806e-03 2.39087614106e-03 1.33460220120e-03 2.38464789057e-04
10 7.83626128635e-03 2.17933177646e-03 1.31662842921e-03 2.17732665860e-04
11 7.55605171603e-03 1.98844377431e-03 1.28046784513e-03 1.99502034684e-04
12 7.25459933558e-03 1.81810365730e-03 1.23138519226e-03 1.83549112123e-04
13 6.94299550622e-03 1.66694786583e-03 1.17367486548e-03 1.69646123482e-04
14 6.62897508791e-03 1.53309822587e-03 1.11076370750e-03 1.57519904696e-04
15 6.31788987970e-03 1.41455737411e-03 1.04532883076e-03 1.46895658170e-04
16 6.01339378394e-03 1.30940879192e-03 9.79415420660e-04 1.37518775831e-04
17 5.71792690173e-03 1.21590721565e-03 9.14546355245e-04 1.29454721711e-04
18 5.43305927732e-03 1.13250948616e-03 8.51819805383e-04 1.22526421149e-04
19 5.15973641222e-03 1.05787451202e-03 8.48798447898e-04 1.16388789589e-04
20 4.89845572405e-03 1.01516938540e-03 8.48465818474e-04 1.10888255032e-04
21 4.64939417055e-03 9.77054547833e-04 8.42647894896e-04 1.05893549066e-04
22 4.41250109145e-03 9.40427973830e-04 8.39491631860e-04 1.01293825316e-04
23 4.18756608459e-03 9.05363688743e-04 8.52272994349e-04 9.73621861936e-05
24 3.97426879945e-03 8.71886271644e-04 8.59029169530e-04 9.50519439390e-05
25 3.77221554182e-03 8.39985750255e-04 8.60100752601e-04 9.29018301586e-05
26 3.58096620087e-03 8.09628527603e-04 8.55908432596e-04 9.08837811398e-05
